task,task_root,episode_index,num_frames,memory_segments,missing_frames,missing_ranges,is_full_coverage
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,40,1499,"0-222,223-798,799-910,911-1198,1199-1438,1439-1498",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,41,2430,"0-222,223-718,719-958,959-1199,1200-1439,1440-2159,2160-2343,2344-2429",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,42,1031,"0-239,240-479,480-719,720-958,959-1030",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,43,2428,"0-222,223-479,480-718,719-878,879-1199,1200-1438,1439-1679,1680-2265,2266-2398",29,2399-2427,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,44,2424,"0-222,223-430,431-719,720-958,959-1086,1087-1358,1359-1439,1440-1582,1583-1918,1919-2158,2159-2336,2337-2423",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,45,557,"0-222,223-556",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,46,1028,"0-29,30-191,192-350,351-882,883-958",69,959-1027,False
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,47,555,"0-239,240-554",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,48,2435,"0-222,223-718,719-911,912-1439,1440-1678,1679-2158,2159-2366,2367-2434",0,,True
blocks_ranking_try,/mnt/workspace/InfiData/Rmbench_infi/blocks_ranking_try,49,1032,"0-222,223-510,511-884,885-1009",22,1010-1031,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,0,936,"0-191,192-462,463-622,623-935",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,1,980,"0-239,240-479,480-686,687-979",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,2,953,"0-239,240-462,463-622,623-718,719-952",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,3,956,"0-382,383-479,480-859,860-955",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,4,937,"0-239,240-462,463-627,628-783,784-935",1,936,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,5,922,"0-222,223-921",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,6,959,"0-190,191-958",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,7,935,"0-190,191-302,303-462,463-622,623-934",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,8,947,"0-190,191-946",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,9,961,"0-239,240-462,463-655,656-862,863-959",1,960,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,10,954,"0-216,217-431,432-558,559-643,644-794,795-952",1,953,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,11,955,"0-190,191-954",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,12,965,"0-158,159-311,312-463,464-640,641-964",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,13,936,0-935,0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,14,944,"0-239,240-478,479-942",1,943,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,15,957,"0-239,240-493,494-686,687-956",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,16,937,"0-478,479-622,623-936",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,17,957,"0-295,296-493,494-643,644-796,797-954",2,955-956,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,18,954,"0-478,479-636,637-794,795-952",1,953,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,19,974,"0-190,191-973",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,20,963,"0-191,192-358,359-494,495-622,623-718,719-962",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,21,950,"0-222,223-479,480-666,667-791,792-947",2,948-949,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,22,912,"0-190,191-911",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,23,982,"0-239,240-493,494-686,687-840,841-981",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,24,947,"0-190,191-946",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,25,963,"0-190,191-350,351-961",1,962,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,26,974,"0-478,479-971",2,972-973,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,27,966,"0-158,159-295,296-462,463-622,623-719,720-963",2,964-965,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,28,926,"0-239,240-334,335-493,494-660,661-805,806-924",1,925,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,29,963,"0-158,159-239,240-323,324-478,479-622,623-719,720-962",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,30,987,"0-190,191-849,850-986",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,31,955,"0-158,159-334,335-686,687-954",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,32,934,"0-239,240-382,383-933",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,33,937,"0-191,192-430,431-622,623-936",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,34,912,"0-191,192-350,351-493,494-622,623-911",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,35,944,"0-191,192-478,479-718,719-943",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,36,943,"0-479,480-942",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,37,965,"0-158,240-334,335-478,479-622,623-718,719-849,850-958",87,"159-239,959-964",False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,38,930,"0-222,223-929",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,39,912,"0-191,192-479,480-911",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,40,932,"0-382,383-931",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,41,956,0-955,0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,42,940,"0-222,223-382,383-478,479-939",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,43,966,"0-239,240-493,494-718,719-817,818-915,916-965",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,44,941,"0-190,191-479,480-601,602-724,725-847,848-940",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,45,972,"0-191,192-350,351-719,720-971",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,46,972,"0-222,223-350,351-970",1,971,False
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,47,985,"0-190,191-350,351-719,720-842,843-930,931-984",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,48,990,"0-190,191-989",0,,True
classify_blocks,/mnt/workspace/InfiData/Rmbench_infi/classify_blocks,49,958,"0-239,240-462,463-622,623-957",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,0,1004,"0-462,463-558,559-642,643-945",58,946-1003,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,1,1016,"0-644,645-830,831-955",60,956-1015,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,2,1007,"0-478,479-638,639-718,719-830,831-947",59,948-1006,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,3,1008,"0-478,479-638,639-718,719-830,831-948",59,949-1007,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,4,1012,"0-478,479-638,639-718,719-830,831-984,985-1011",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,5,1011,"0-478,479-642,643-734,735-835,836-926",84,927-1010,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,6,1010,"0-478,479-638,639-718,719-830,831-983,984-1009",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,7,1050,"0-718,719-850,851-958",91,959-1049,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,8,1011,"0-478,479-644,645-798,799-951",59,952-1010,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,9,1050,"0-478,479-718,719-850,851-958",91,959-1049,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,10,1003,"0-478,479-718,719-831,832-958",44,959-1002,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,11,1053,"0-478,479-638,639-718,719-851",201,852-1052,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,12,1008,"0-638,639-718,719-1006",1,1007,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,13,1013,"0-478,479-642,643-787,788-934",78,935-1012,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,14,1005,"0-478,479-718,719-980,981-1004",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,15,1007,"0-478,479-718,719-958,959-1006",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,16,1043,"0-478,479-638,639-718,719-830,831-958,959-1041",1,1042,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,17,1000,"0-478,479-642,643-798,799-926,927-999",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,18,1000,"0-478,479-638,639-718,719-798,799-943",56,944-999,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,19,1044,"0-478,479-718,719-958,959-1042",1,1043,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,20,1004,"0-478,479-642,643-798,799-958,959-1003",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,21,1052,"0-478,479-638,639-718,719-851",200,852-1051,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,22,998,"0-638,639-718,719-830,831-995",2,996-997,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,23,1049,"0-190,191-644,645-841",207,842-1048,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,24,1045,"0-478,479-638,639-718,719-798,799-926,927-1043",1,1044,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,25,1001,"0-190,191-642,643-815,816-958",42,959-1000,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,26,1010,"0-478,479-642,643-817,818-958,959-1009",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,27,1047,"0-478,479-638,639-718,719-817,818-958",88,959-1046,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,28,1012,"0-190,191-642,643-835",176,836-1011,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,29,1045,"0-478,479-638,639-718,719-847",197,848-1044,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,30,1000,"0-478,479-638,639-718,719-998",1,999,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,31,1007,"0-478,479-638,639-718,719-1005",1,1006,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,32,1013,"0-638,639-718,719-830,831-952",60,953-1012,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,33,1050,"0-190,191-642,643-838,839-1049",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,34,1004,"0-478,479-638,639-766,767-945",58,946-1003,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,35,1010,"0-478,479-638,639-718,719-830,831-983,984-1009",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,36,1050,"0-478,479-638,639-718,719-868,869-1049",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,37,998,"0-478,479-638,639-718,719-829",168,830-997,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,38,1003,"0-478,479-638,639-718,719-830,831-979",23,980-1002,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,39,1006,"0-478,479-654,655-832,833-958",47,959-1005,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,40,1053,"0-478,479-638,639-718,719-871,872-1052",0,,True
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,41,998,"0-478,479-718,719-977",20,978-997,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,42,1000,"0-478,479-638,639-718,719-830",169,831-999,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,43,1047,"0-190,191-686,687-958,959-1045",1,1046,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,44,1007,"0-478,479-654,655-832,833-958",48,959-1006,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,45,1051,"0-733,734-873",177,874-1050,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,46,1052,"0-478,479-718,719-851,852-958",93,959-1051,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,47,1046,"0-478,479-718,719-894,895-1044",1,1045,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,48,1053,"0-478,479-718,719-873,874-958",94,959-1052,False
cover_blocks,/mnt/workspace/InfiData/Rmbench_infi/cover_blocks,49,1011,"0-478,479-638,639-718,719-817,818-926,927-1010",0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,0,148,0-57,90,58-147,False
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,1,149,0-148,0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,2,151,0-59,91,60-150,False
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,3,150,0-88,61,89-149,False
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,4,150,0-149,0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,5,150,0-149,0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,6,150,0-149,0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,7,149,"0-76,77-148",0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,8,149,"0-58,59-148",0,,True
observe_and_pickup,/mnt/workspace/InfiData/Rmbench_infi/observe_and_pickup,9,153,0-152,0,,True
